Country,EdLevel,LearnCode,Age,YearsCodePro,Salary
United States of America,Bachelor’s degree,Online Resources,25-34 years old,4.0,95000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,11.0,84019.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,5.0,42156.0
Canada,Bachelor’s degree,School,35-44 years old,18.0,67312.0
United States of America,Bachelor’s degree,School,18-24 years old,2.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,45-54 years old,24.0,86604.0
Germany,Master’s degree,Online Resources,25-34 years old,10.0,102693.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,45-54 years old,15.0,58167.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,2.0,95000.0
Canada,Less than a Bachelors,Online Resources,25-34 years old,10.0,62774.0
Norway,Bachelor’s degree,School,25-34 years old,4.0,80280.0
Canada,Less than a Bachelors,School,25-34 years old,6.0,52186.0
United States of America,Less than a Bachelors,School,35-44 years old,15.0,78000.0
United States of America,Master’s degree,Online Resources,35-44 years old,11.0,90000.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,4.0,48500.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,2.0,60000.0
United States of America,Master’s degree,Online Resources,25-34 years old,0.5,90000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,7.0,85699.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,25-34 years old,3.0,46533.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,4.0,64000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,7.0,66000.0
"Iran, Islamic Republic of...",Master’s degree,Others,35-44 years old,12.0,45600.0
Spain,Master’s degree,Others,25-34 years old,7.0,56211.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,100000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,2.0,70000.0
United States of America,Bachelor’s degree,Others,25-34 years old,2.0,93000.0
Spain,Master’s degree,Online Resources,25-34 years old,7.0,75669.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,5.0,77000.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,6.0,97106.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,21.0,97288.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,5.0,96000.0
Mexico,Bachelor’s degree,Online Resources,25-34 years old,6.0,53865.0
United States of America,Master’s degree,Online Resources,18-24 years old,0.5,79000.0
Canada,Less than a Bachelors,Online Resources,25-34 years old,3.0,52942.0
Australia,Bachelor’s degree,Online Resources,25-34 years old,8.0,83512.0
United States of America,Bachelor’s degree,Bootcamp,18-24 years old,5.0,70000.0
Germany,Master’s degree,Online Resources,25-34 years old,5.0,73944.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,4.0,84019.0
United States of America,Less than a Bachelors,Online Resources,18-24 years old,0.5,42000.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,90000.0
Australia,Bachelor’s degree,School,18-24 years old,2.0,66810.0
Mexico,Bachelor’s degree,School,25-34 years old,7.0,45252.0
United States of America,Less than a Bachelors,Online Resources,18-24 years old,2.0,56000.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,2.0,71850.0
Australia,Less than a Bachelors,Online Resources,35-44 years old,4.0,76831.0
United States of America,Bachelor’s degree,Others,18-24 years old,2.0,85000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,70225.0
Australia,Less than a Bachelors,Online Resources,35-44 years old,17.0,67478.0
Mexico,Bachelor’s degree,Online Resources,25-34 years old,5.0,52680.0
Australia,Bachelor’s degree,School,25-34 years old,8.0,100214.0
Australia,Bachelor’s degree,Online Resources,25-34 years old,6.0,70150.0
United States of America,Master’s degree,Online Resources,25-34 years old,7.0,99000.0
United States of America,Less than a Bachelors,Others,45-54 years old,22.0,85000.0
India,Bachelor’s degree,Online Resources,18-24 years old,3.0,83772.0
Canada,Bachelor’s degree,School,35-44 years old,15.0,105884.0
Australia,Bachelor’s degree,Online Resources,45-54 years old,23.0,106895.0
Australia,Bachelor’s degree,Others,35-44 years old,17.0,68146.0
Israel,Master’s degree,Others,55-64 years old,39.0,42024.0
Mexico,Master’s degree,Online Resources,25-34 years old,10.0,107730.0
Switzerland,Bachelor’s degree,Online Resources,25-34 years old,2.0,71662.0
Germany,Master’s degree,Online Resources,25-34 years old,12.0,81074.0
France,Master’s degree,School,25-34 years old,7.0,77831.0
United States of America,Bachelor’s degree,School,25-34 years old,1.0,86900.0
Russian Federation,Bachelor’s degree,Others,25-34 years old,13.0,51708.0
United States of America,Master’s degree,School,35-44 years old,4.0,96000.0
Germany,Master’s degree,Others,25-34 years old,6.0,91883.0
Italy,Less than a Bachelors,Online Resources,45-54 years old,35.0,97288.0
India,Bachelor’s degree,Online Resources,25-34 years old,8.0,100000.0
Australia,Bachelor’s degree,Others,45-54 years old,28.0,76831.0
Canada,Less than a Bachelors,Online Resources,45-54 years old,28.0,90756.0
Sweden,Master’s degree,School,25-34 years old,5.0,44676.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,12.0,71093.0
Poland,Bachelor’s degree,Online Resources,35-44 years old,8.0,42528.0
Turkey,Less than a Bachelors,Online Resources,35-44 years old,22.0,78900.0
Poland,Master’s degree,School,25-34 years old,10.0,70250.0
Russian Federation,Master’s degree,Online Resources,25-34 years old,3.0,50952.0
India,Bachelor’s degree,Online Resources,25-34 years old,13.0,50262.0
Italy,Less than a Bachelors,Online Resources,45-54 years old,27.0,70264.0
Germany,Master’s degree,Bootcamp,35-44 years old,10.0,55776.0
Belgium,Bachelor’s degree,School,25-34 years old,3.0,45396.0
Sweden,Master’s degree,Others,25-34 years old,0.5,41724.0
India,Bachelor’s degree,Online Resources,18-24 years old,0.5,67020.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,7.0,52776.0
Austria,Master’s degree,Online Resources,25-34 years old,11.0,62048.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,6.0,67215.0
Australia,Less than a Bachelors,Online Resources,25-34 years old,6.0,64137.0
Austria,Bachelor’s degree,Online Resources,35-44 years old,20.0,68642.0
France,Master’s degree,School,25-34 years old,10.0,86478.0
France,Master’s degree,Online Resources,18-24 years old,4.0,108100.0
Netherlands,Bachelor’s degree,Others,25-34 years old,3.0,48214.0
Germany,PHD,Others,25-34 years old,3.0,51888.0
Poland,Master’s degree,School,25-34 years old,11.0,94900.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,14.0,63337.0
Germany,Master’s degree,Others,35-44 years old,18.0,108098.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,4.0,51888.0
Spain,Bachelor’s degree,Online Resources,18-24 years old,2.0,51887.0
Germany,Master’s degree,Online Resources,35-44 years old,3.0,54049.0
Netherlands,Master’s degree,School,35-44 years old,16.0,63564.0
Austria,Master’s degree,Online Resources,35-44 years old,13.0,64860.0
Netherlands,Master’s degree,School,25-34 years old,4.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,55-64 years old,27.0,108578.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,2.0,96945.0
Ukraine,Master’s degree,School,35-44 years old,8.0,44040.0
Czech Republic,Less than a Bachelors,School,35-44 years old,11.0,62352.0
Poland,Master’s degree,Online Resources,25-34 years old,10.0,63281.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,5.0,43239.0
Sweden,Master’s degree,Online Resources,25-34 years old,1.0,42960.0
Switzerland,PHD,Online Resources,25-34 years old,6.0,101649.0
Australia,Bachelor’s degree,Online Resources,35-44 years old,20.0,106895.0
Netherlands,Master’s degree,Online Resources,25-34 years old,6.0,55130.0
India,Bachelor’s degree,School,18-24 years old,3.0,44678.0
Brazil,PHD,Online Resources,35-44 years old,16.0,45814.0
Germany,Master’s degree,Online Resources,35-44 years old,12.0,91883.0
Norway,Master’s degree,Online Resources,25-34 years old,4.0,66895.0
India,Master’s degree,School,25-34 years old,8.0,47470.0
Germany,Master’s degree,Others,25-34 years old,10.0,81074.0
France,Master’s degree,School,25-34 years old,4.0,64859.0
Switzerland,Master’s degree,Online Resources,35-44 years old,13.0,108358.0
Germany,PHD,School,25-34 years old,8.0,62697.0
Germany,Less than a Bachelors,Others,35-44 years old,22.0,75669.0
Germany,Less than a Bachelors,School,25-34 years old,0.5,43239.0
Switzerland,PHD,School,35-44 years old,12.0,100464.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,0.5,58373.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,0.5,46704.0
Germany,Master’s degree,Bootcamp,25-34 years old,0.5,45077.0
Germany,Less than a Bachelors,School,25-34 years old,7.0,64859.0
United States of America,Master’s degree,Online Resources,45-54 years old,5.0,75000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,6.0,46536.0
Czech Republic,Less than a Bachelors,Online Resources,18-24 years old,3.0,46764.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,35-44 years old,14.0,100822.0
Germany,Master’s degree,Others,18-24 years old,1.0,64859.0
Norway,Less than a Bachelors,Others,45-54 years old,27.0,78224.0
Czech Republic,Less than a Bachelors,Online Resources,18-24 years old,6.0,41568.0
Germany,PHD,School,35-44 years old,11.0,97288.0
Turkey,Bachelor’s degree,Online Resources,25-34 years old,6.0,59172.0
Israel,Bachelor’s degree,Online Resources,25-34 years old,4.0,108564.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,96621.0
Germany,Master’s degree,Online Resources,35-44 years old,15.0,108098.0
Russian Federation,Professional degree,Online Resources,25-34 years old,9.0,43404.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,10.0,49092.0
Netherlands,Bachelor’s degree,Online Resources,35-44 years old,15.0,97288.0
Turkey,Bachelor’s degree,Others,25-34 years old,8.0,78900.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,7.0,54289.0
Sweden,Master’s degree,School,35-44 years old,11.0,95736.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,5.0,42804.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,5.0,63337.0
Australia,Master’s degree,Others,35-44 years old,32.0,53448.0
Switzerland,Master’s degree,School,25-34 years old,10.0,71154.0
Israel,Less than a Bachelors,Bootcamp,18-24 years old,4.0,52536.0
Ukraine,Less than a Bachelors,Online Resources,35-44 years old,8.0,42000.0
Israel,Master’s degree,Bootcamp,35-44 years old,3.0,63036.0
Sweden,Master’s degree,School,25-34 years old,7.0,55224.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,20.0,86478.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,25-34 years old,4.0,84019.0
France,Master’s degree,School,25-34 years old,10.0,51888.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,18-24 years old,2.0,45241.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,5.0,96945.0
Germany,Master’s degree,School,25-34 years old,4.0,52968.0
Netherlands,Less than a Bachelors,Online Resources,18-24 years old,4.0,47952.0
Germany,Master’s degree,Others,35-44 years old,13.0,108098.0
Germany,Master’s degree,School,25-34 years old,10.0,61620.0
Netherlands,PHD,Online Resources,45-54 years old,12.0,97288.0
Germany,Bachelor’s degree,School,25-34 years old,2.0,67021.0
Canada,Bachelor’s degree,Others,25-34 years old,10.0,52186.0
Norway,Master’s degree,School,25-34 years old,2.0,70132.0
Germany,PHD,School,35-44 years old,8.0,91883.0
Switzerland,Less than a Bachelors,Online Resources,35-44 years old,8.0,95143.0
India,Master’s degree,Online Resources,25-34 years old,8.0,54451.0
France,Less than a Bachelors,Online Resources,25-34 years old,11.0,42158.0
Germany,Master’s degree,Others,35-44 years old,6.0,59454.0
India,Bachelor’s degree,Online Resources,18-24 years old,5.0,81600.0
United States of America,Bachelor’s degree,Others,35-44 years old,5.0,75200.0
France,Master’s degree,School,35-44 years old,10.0,59454.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,55000.0
United States of America,Bachelor’s degree,Bootcamp,25-34 years old,2.0,100000.0
France,Master’s degree,Online Resources,25-34 years old,7.0,49725.0
France,Master’s degree,Online Resources,25-34 years old,3.0,55130.0
Sweden,Master’s degree,Online Resources,25-34 years old,4.0,57684.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,6.0,43239.0
Germany,Bachelor’s degree,Online Resources,45-54 years old,21.0,84312.0
France,Master’s degree,Others,25-34 years old,15.0,86478.0
France,Bachelor’s degree,Online Resources,25-34 years old,4.0,54049.0
Ukraine,Master’s degree,Online Resources,25-34 years old,5.0,51384.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,3.0,42804.0
Germany,Master’s degree,School,25-34 years old,7.0,97288.0
Germany,Master’s degree,Others,35-44 years old,6.0,77832.0
Italy,Master’s degree,School,35-44 years old,17.0,48644.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,0.5,48644.0
Austria,Master’s degree,School,35-44 years old,18.0,97288.0
United States of America,Less than a Bachelors,Online Resources,35-44 years old,11.0,105000.0
Italy,Less than a Bachelors,Others,35-44 years old,15.0,86478.0
France,Master’s degree,Bootcamp,25-34 years old,4.0,49725.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,3.0,43239.0
India,Bachelor’s degree,School,25-34 years old,10.0,51658.0
United Kingdom of Great Britain and Northern Ireland,PHD,School,25-34 years old,5.0,100822.0
Spain,Bachelor’s degree,Others,25-34 years old,5.0,49725.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,3.0,43239.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,4.0,75000.0
United Kingdom of Great Britain and Northern Ireland,PHD,School,65 years or older,45.0,84019.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,8.0,54672.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,5.0,51552.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,6.0,54672.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,5.0,51888.0
Canada,Bachelor’s degree,School,25-34 years old,4.0,49160.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,45-54 years old,25.0,58167.0
Czech Republic,PHD,Online Resources,25-34 years old,8.0,41568.0
Sweden,PHD,Others,35-44 years old,10.0,67500.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,14.0,52996.0
Austria,Less than a Bachelors,School,25-34 years old,3.0,50806.0
Netherlands,Less than a Bachelors,School,35-44 years old,16.0,103776.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,35-44 years old,15.0,81433.0
Poland,Master’s degree,School,35-44 years old,6.0,77479.0
Germany,Master’s degree,Online Resources,35-44 years old,0.5,47563.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,3.0,105000.0
United States of America,Bachelor’s degree,School,25-34 years old,8.0,77000.0
Australia,Less than a Bachelors,Online Resources,25-34 years old,10.0,98745.0
Poland,Master’s degree,Others,35-44 years old,12.0,45564.0
India,Bachelor’s degree,Online Resources,25-34 years old,13.0,104713.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,School,35-44 years old,20.0,64630.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,2.0,51704.0
Norway,Master’s degree,School,55-64 years old,29.0,102501.0
Spain,Master’s degree,Online Resources,35-44 years old,10.0,56211.0
Germany,Master’s degree,Online Resources,25-34 years old,2.0,73507.0
Spain,Master’s degree,Online Resources,35-44 years old,10.0,56211.0
France,Master’s degree,School,25-34 years old,4.0,64859.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,4.0,82155.0
France,Master’s degree,Online Resources,35-44 years old,20.0,43239.0
Sweden,Master’s degree,Others,45-54 years old,30.0,98184.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,4.0,56211.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,25.0,70165.0
United States of America,Bachelor’s degree,School,25-34 years old,4.0,60000.0
France,Master’s degree,School,25-34 years old,4.0,67021.0
Russian Federation,Bachelor’s degree,School,35-44 years old,11.0,94366.0
United States of America,Bachelor’s degree,School,35-44 years old,15.0,98000.0
Belgium,Master’s degree,Online Resources,25-34 years old,2.0,44040.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,8.0,51888.0
France,Master’s degree,School,45-54 years old,23.0,59676.0
Germany,Bachelor’s degree,School,35-44 years old,19.0,75669.0
United States of America,Master’s degree,School,25-34 years old,3.0,78000.0
Germany,Master’s degree,School,25-34 years old,2.0,54049.0
Spain,Bachelor’s degree,School,35-44 years old,15.0,64859.0
Netherlands,Bachelor’s degree,Others,35-44 years old,15.0,81074.0
Ukraine,Master’s degree,Online Resources,35-44 years old,9.0,48936.0
Canada,Bachelor’s degree,School,25-34 years old,1.0,61261.0
Germany,Professional degree,Online Resources,35-44 years old,17.0,64859.0
Switzerland,Less than a Bachelors,Online Resources,18-24 years old,2.0,60984.0
United States of America,Less than a Bachelors,Online Resources,18-24 years old,0.5,60000.0
United States of America,Less than a Bachelors,Online Resources,18-24 years old,1.0,52000.0
Sweden,Less than a Bachelors,Online Resources,35-44 years old,4.0,79776.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,6.0,55224.0
Germany,Bachelor’s degree,Others,25-34 years old,1.0,47563.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,80000.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,3.0,63750.0
Belgium,Bachelor’s degree,School,18-24 years old,1.0,43239.0
United States of America,Less than a Bachelors,Online Resources,35-44 years old,3.0,104000.0
Sweden,Less than a Bachelors,Online Resources,25-34 years old,6.0,82848.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,25-34 years old,5.0,59459.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,10.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,18-24 years old,0.5,43302.0
India,Bachelor’s degree,Online Resources,18-24 years old,2.0,83770.0
Italy,Professional degree,Online Resources,45-54 years old,25.0,91883.0
Australia,Less than a Bachelors,Online Resources,18-24 years old,7.0,80172.0
France,Master’s degree,School,35-44 years old,22.0,80424.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,2.0,65000.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,9.0,98000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,2.0,77556.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,0.5,80000.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,3.0,98841.0
India,Bachelor’s degree,Online Resources,25-34 years old,7.0,50262.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,4.0,64287.0
France,PHD,Others,35-44 years old,10.0,64859.0
United States of America,Less than a Bachelors,School,55-64 years old,33.0,100000.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,3.0,75920.0
Germany,Master’s degree,Others,25-34 years old,2.0,75669.0
United States of America,Bachelor’s degree,School,25-34 years old,0.5,100000.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,1.0,45396.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,26.0,84019.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,8.0,107720.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,16.0,64630.0
Germany,Master’s degree,School,45-54 years old,18.0,75669.0
United Kingdom of Great Britain and Northern Ireland,PHD,Bootcamp,45-54 years old,10.0,51704.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,0.5,76000.0
Canada,Less than a Bachelors,Online Resources,45-54 years old,25.0,68068.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,9.0,55776.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,3.0,66569.0
Germany,Less than a Bachelors,School,25-34 years old,8.0,75669.0
United States of America,Bachelor’s degree,School,25-34 years old,3.0,78000.0
Spain,Bachelor’s degree,Online Resources,25-34 years old,3.0,97288.0
United States of America,Bachelor’s degree,School,25-34 years old,3.0,50000.0
Germany,Master’s degree,School,25-34 years old,5.0,75669.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,10.0,83236.0
Russian Federation,Bachelor’s degree,Online Resources,35-44 years old,21.0,72288.0
Brazil,Bachelor’s degree,Others,25-34 years old,7.0,45401.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,3.0,51704.0
Czech Republic,Bachelor’s degree,Bootcamp,25-34 years old,3.0,60624.0
United States of America,Bachelor’s degree,School,25-34 years old,2.0,71000.0
Norway,Master’s degree,School,35-44 years old,7.0,91711.0
Germany,Master’s degree,School,18-24 years old,3.0,43239.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,72000.0
Norway,Bachelor’s degree,School,25-34 years old,0.5,55027.0
Canada,Master’s degree,School,45-54 years old,5.0,75631.0
France,PHD,School,25-34 years old,5.0,59454.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,2.0,49000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,106000.0
Germany,Master’s degree,Online Resources,25-34 years old,3.0,75669.0
United States of America,Master’s degree,Online Resources,45-54 years old,20.0,100000.0
Ukraine,Bachelor’s degree,Others,25-34 years old,8.0,44040.0
Netherlands,Less than a Bachelors,Online Resources,18-24 years old,2.0,51888.0
Belgium,Bachelor’s degree,School,25-34 years old,7.0,51888.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,83200.0
Germany,PHD,Online Resources,45-54 years old,10.0,48000.0
France,Master’s degree,Others,25-34 years old,3.0,64859.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,2.0,100000.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,6.0,57292.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,3.0,57292.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,9.0,88000.0
Italy,Master’s degree,Online Resources,25-34 years old,2.0,48644.0
Germany,Master’s degree,Others,35-44 years old,13.0,82155.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,2.0,100000.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,1.0,65000.0
Australia,Master’s degree,Online Resources,35-44 years old,8.0,100214.0
Canada,Bachelor’s degree,Online Resources,35-44 years old,21.0,75631.0
United States of America,Bachelor’s degree,School,25-34 years old,2.0,69000.0
Sweden,Master’s degree,Online Resources,25-34 years old,2.0,45408.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,70000.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,6.0,102693.0
Netherlands,Master’s degree,Others,25-34 years old,10.0,68647.0
Poland,Bachelor’s degree,Others,25-34 years old,4.0,42528.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,0.5,93000.0
Spain,Master’s degree,Others,35-44 years old,15.0,54049.0
Poland,Master’s degree,Online Resources,25-34 years old,11.0,103776.0
United States of America,Master’s degree,Online Resources,25-34 years old,4.0,75000.0
United States of America,PHD,Online Resources,35-44 years old,6.0,74000.0
United States of America,Bachelor’s degree,School,35-44 years old,12.0,106000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,11.0,80400.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,2.0,57185.0
Israel,Less than a Bachelors,Online Resources,35-44 years old,6.0,87552.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,5.0,85000.0
Russian Federation,Master’s degree,School,35-44 years old,10.0,94368.0
Sweden,Less than a Bachelors,Others,35-44 years old,11.0,58908.0
Germany,PHD,School,35-44 years old,7.0,71345.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,5.0,54049.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,65000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,4.0,90000.0
Switzerland,PHD,Others,45-54 years old,16.0,84168.0
Czech Republic,Master’s degree,Online Resources,25-34 years old,4.0,57156.0
Czech Republic,Master’s degree,Online Resources,25-34 years old,3.0,43303.0
Sweden,PHD,School,45-54 years old,34.0,76092.0
Netherlands,Master’s degree,Online Resources,35-44 years old,11.0,83236.0
Canada,Less than a Bachelors,School,25-34 years old,6.0,83194.0
United States of America,Less than a Bachelors,Bootcamp,25-34 years old,2.0,96000.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,1.0,52000.0
Norway,Bachelor’s degree,Online Resources,45-54 years old,30.0,64740.0
Sweden,Master’s degree,School,25-34 years old,4.0,46632.0
Germany,Professional degree,Online Resources,25-34 years old,5.0,64859.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,1.0,52000.0
Norway,Bachelor’s degree,Others,25-34 years old,3.0,64737.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,11.0,90000.0
Canada,Master’s degree,Others,35-44 years old,20.0,91287.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,2.0,80000.0
Russian Federation,Less than a Bachelors,Online Resources,25-34 years old,11.0,69828.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,1.0,57000.0
Canada,Bachelor’s degree,Online Resources,18-24 years old,1.0,43866.0
Germany,Master’s degree,Online Resources,25-34 years old,2.0,55776.0
United States of America,Less than a Bachelors,Online Resources,18-24 years old,0.5,100000.0
Sweden,Master’s degree,School,45-54 years old,21.0,98184.0
France,PHD,Online Resources,25-34 years old,11.0,70264.0
Canada,Bachelor’s degree,School,25-34 years old,1.0,57480.0
Canada,Bachelor’s degree,School,25-34 years old,3.0,45379.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,6.0,90000.0
United States of America,Master’s degree,Online Resources,25-34 years old,6.0,90000.0
United States of America,Less than a Bachelors,School,55-64 years old,38.0,86000.0
France,Master’s degree,Online Resources,25-34 years old,9.0,61616.0
United States of America,Bachelor’s degree,School,18-24 years old,1.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,4.0,71093.0
United States of America,Bachelor’s degree,School,18-24 years old,2.0,75000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,6.0,90000.0
Germany,Bachelor’s degree,Others,25-34 years old,7.0,76750.0
United States of America,Bachelor’s degree,School,18-24 years old,2.0,49956.0
Brazil,Bachelor’s degree,Online Resources,25-34 years old,5.0,58413.0
Switzerland,Bachelor’s degree,Online Resources,35-44 years old,15.0,106731.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,0.5,98000.0
United States of America,Bachelor’s degree,School,25-34 years old,7.0,106000.0
Canada,Bachelor’s degree,Others,45-54 years old,25.0,90758.0
Canada,Less than a Bachelors,School,45-54 years old,4.0,90758.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,7.0,80000.0
Brazil,Master’s degree,School,25-34 years old,12.0,54972.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Others,35-44 years old,25.0,106639.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,4.0,75631.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,10.0,71184.0
Sweden,Less than a Bachelors,Online Resources,18-24 years old,3.0,49092.0
Germany,Master’s degree,Online Resources,25-34 years old,0.5,59454.0
Ukraine,Master’s degree,Others,45-54 years old,21.0,73404.0
United States of America,Less than a Bachelors,Online Resources,35-44 years old,12.0,95000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,9.0,91000.0
